driverStandingsId,points,position,wins,raceId,driverId
64987,0,12,0,860,3
64998,0,23,0,860,37
64996,0,21,0,860,154
64994,0,19,0,860,808
64992,0,17,0,860,13
64990,0,15,0,860,819
64988,0,13,0,860,813
64986,0,11,0,860,818
64985,1,10,0,860,814
64984,2,9,0,860,817
64983,4,8,0,860,815
64982,6,7,0,860,8
64981,8,6,0,860,155
64980,10,5,0,860,4
64979,12,4,0,860,17
64978,15,3,0,860,1
64977,18,2,0,860,20
64976,25,1,1,860,18
64928,25,3,1,861,18
64929,18,6,0,861,20
64930,30,2,0,861,1
64931,24,4,0,861,17
64932,35,1,1,861,4
64933,8,9,0,861,155
64934,16,7,0,861,8
64935,22,5,0,861,815
64936,2,12,0,861,817
64937,7,10,0,861,814
64938,4,11,0,861,818
64939,0,15,0,861,3
64940,0,16,0,861,813
64941,0,17,0,861,10
64942,0,18,0,861,819
64943,8,8,0,861,811
64944,0,19,0,861,13
64945,0,21,0,861,5
64946,0,20,0,861,808
64947,1,14,0,861,30
64948,0,24,0,861,154
64949,2,13,0,861,807
64950,0,23,0,861,37
64951,0,22,0,861,39
64952,43,2,1,862,18
64953,28,5,0,862,20
64954,45,1,0,862,1
64955,36,4,0,862,17
64956,37,3,1,862,4
64957,9,10,0,862,155
64958,16,8,0,862,8
64959,22,7,0,862,815
64960,2,15,0,862,817
64961,7,12,0,862,814
64962,4,13,0,862,818
64963,25,6,1,862,3
64964,4,14,0,862,813
64965,0,19,0,862,10
64966,0,20,0,862,819
64967,14,9,0,862,811
64968,0,18,0,862,13
64969,0,22,0,862,5
64970,0,21,0,862,808
64971,1,17,0,862,30
64972,8,11,0,862,154
64973,2,16,0,862,807
64974,0,23,0,862,37
64975,0,24,0,862,39
65000,43,4,1,863,18
65001,53,1,1,863,20
65002,49,2,0,863,1
65003,48,3,0,863,17
65004,43,5,1,863,4
65005,9,12,0,863,155
65006,34,7,0,863,8
65007,22,9,0,863,815
65008,2,15,0,863,817
65009,15,10,0,863,814
65010,4,13,0,863,818
65011,35,6,1,863,3
65012,4,14,0,863,813
65013,0,19,0,863,10
65014,0,20,0,863,819
65015,14,11,0,863,811
65016,2,17,0,863,13
65017,0,22,0,863,5
65018,0,21,0,863,808
65019,2,18,0,863,30
65020,23,8,0,863,154
65021,2,16,0,863,807
65022,0,23,0,863,37
65023,0,24,0,863,39
65024,45,6,1,864,18
65025,61,1,1,864,20
65026,53,3,0,864,1
65027,48,5,0,864,17
65028,61,2,1,864,4
65029,19,11,0,864,155
65030,49,4,0,864,8
65031,22,10,0,864,815
65032,2,16,0,864,817
65033,15,12,0,864,814
65034,4,14,0,864,818
65035,41,7,1,864,3
65036,29,9,1,864,813
65037,0,19,0,864,10
65038,0,20,0,864,819
65039,14,13,0,864,811
65040,2,17,0,864,13
65041,0,22,0,864,5
65042,0,21,0,864,808
65043,2,18,0,864,30
65044,35,8,0,864,154
65045,3,15,0,864,807
65046,0,23,0,864,37
65047,0,24,0,864,39
65048,45,7,1,865,18
65049,73,2,1,865,20
65050,63,4,0,865,1
65051,73,3,1,865,17
65052,76,1,1,865,4
65053,19,12,0,865,155
65054,51,6,0,865,8
65055,22,10,0,865,815
65056,2,17,0,865,817
65057,21,11,0,865,814
65058,4,16,0,865,818
65059,59,5,1,865,3
65060,29,9,1,865,813
65061,0,20,0,865,10
65062,0,21,0,865,819
65063,15,13,0,865,811
65064,10,14,0,865,13
65065,0,19,0,865,5
65066,0,23,0,865,808
65067,2,18,0,865,30
65068,35,8,0,865,154
65069,7,15,0,865,807
65070,0,24,0,865,37
65071,0,22,0,865,39
65072,45,8,1,866,18
65073,85,3,1,866,20
65074,88,1,1,866,1
65075,79,4,1,866,17
65076,86,2,1,866,4
65077,21,11,0,866,155
65078,55,6,0,866,8
65079,37,9,0,866,815
65080,2,17,0,866,817
65081,21,12,0,866,814
65082,4,16,0,866,818
65083,67,5,1,866,3
65084,29,10,1,866,813
65085,0,20,0,866,10
65086,0,21,0,866,819
65087,15,13,0,866,811
65088,11,14,0,866,13
65089,0,19,0,866,5
65090,0,23,0,866,808
65091,2,18,0,866,30
65092,53,7,0,866,154
65093,7,15,0,866,807
65094,0,24,0,866,37
65095,0,22,0,866,39
65096,49,8,1,867,18
65097,85,4,1,867,20
65098,88,3,1,867,1
65099,91,2,1,867,17
65100,111,1,2,867,4
65101,21,12,0,867,155
65102,73,6,0,867,8
65103,39,9,0,867,815
65104,2,18,0,867,817
65105,27,11,0,867,814
65106,4,17,0,867,818
65107,75,5,1,867,3
65108,29,10,1,867,813
65109,0,21,0,867,10
65110,0,22,0,867,819
65111,16,15,0,867,811
65112,11,16,0,867,13
65113,0,19,0,867,5
65114,0,20,0,867,808
65115,17,13,0,867,30
65116,53,7,0,867,154
65117,17,14,0,867,807
65118,0,24,0,867,37
65119,0,23,0,867,39
65120,50,8,1,868,18
65121,100,3,1,868,20
65122,92,4,1,868,1
65123,116,2,2,868,17
65124,129,1,2,868,4
65125,21,14,0,868,155
65126,83,5,0,868,8
65127,39,9,0,868,815
65128,2,18,0,868,817
65129,27,11,0,868,814
65130,4,17,0,868,818
65131,75,6,1,868,3
65132,29,10,1,868,813
65133,0,21,0,868,10
65134,0,22,0,868,819
65135,18,15,0,868,811
65136,23,13,0,868,13
65137,0,19,0,868,5
65138,0,20,0,868,808
65139,23,12,0,868,30
65140,61,7,0,868,154
65141,17,16,0,868,807
65142,0,24,0,868,37
65143,0,23,0,868,39
65196,164,1,3,870,4
65195,124,2,2,870,17
65194,117,4,2,870,1
65193,122,3,1,870,20
65192,76,7,1,870,18
65191,0,23,0,869,39
65190,0,24,0,869,37
65189,19,15,0,869,807
65188,61,8,0,869,154
65187,29,12,0,869,30
65186,0,20,0,869,808
65185,0,19,0,869,5
65184,23,14,0,869,13
65183,18,16,0,869,811
65182,0,22,0,869,819
65169,110,3,1,869,20
65170,92,5,1,869,1
65171,120,2,2,869,17
65172,154,1,3,869,4
65173,33,10,0,869,155
65174,98,4,0,869,8
65175,47,9,0,869,815
65176,2,18,0,869,817
65177,27,13,0,869,814
65178,4,17,0,869,818
65179,76,6,1,869,3
65180,29,11,1,869,813
65181,0,21,0,869,10
65168,68,7,1,869,18
65197,33,10,0,870,155
65198,116,5,0,870,8
65199,47,9,0,870,815
65200,2,18,0,870,817
65201,27,13,0,870,814
65202,4,17,0,870,818
65203,77,6,1,870,3
65204,29,11,1,870,813
65205,0,21,0,870,10
65206,0,22,0,870,819
65207,24,15,0,870,811
65208,25,14,0,870,13
65209,0,19,0,870,5
65210,0,20,0,870,808
65211,29,12,0,870,30
65212,76,8,0,870,154
65213,19,16,0,870,807
